Gebärde,Wort
http://www.babysignlanguage.com/signs/again.gif,nochmal
http://www.babysignlanguage.com/signs/eat.gif,essen
http://www.babysignlanguage.com/signs/no.gif,Nein
http://www.babysignlanguage.com/signs/yes.gif,Ja
http://www.babysignlanguage.com/signs/more.gif,mehr
http://www.babysignlanguage.com/signs/thank_you.gif,Danke
http://www.babysignlanguage.com/signs/hello.gif,Hallo
http://www.babysignlanguage.com/signs/all_done.gif,fertig
http://www.babysignlanguage.com/signs/afraid.gif,ängstlich
http://www.babysignlanguage.com/signs/all_gone.gif,leer | alles weg
http://www.babysignlanguage.com/signs/angry.gif,wütend
http://www.babysignlanguage.com/signs/animal.gif,Tier
http://www.babysignlanguage.com/signs/apple.gif,Apfel
http://www.babysignlanguage.com/signs/aunt.gif,Tante
http://www.babysignlanguage.com/signs/ball.gif,Ball
http://www.babysignlanguage.com/signs/banana.gif,Banane
http://www.babysignlanguage.com/signs/bath.gif,Bad
http://www.babysignlanguage.com/signs/be_careful.gif,sei vorsichtig
http://www.babysignlanguage.com/signs/bedroom.gif,Schlafzimmer
http://www.babysignlanguage.com/signs/blanket.gif,Schlafdecke
http://www.babysignlanguage.com/signs/book.gif,Buch
http://www.babysignlanguage.com/signs/bottle.gif,Flasche
http://www.babysignlanguage.com/signs/breakfast.gif,Frühstück
http://www.babysignlanguage.com/signs/cat.gif,Katze
http://www.babysignlanguage.com/signs/change.gif,Wickeln
http://www.babysignlanguage.com/signs/cold.gif,kalt
http://www.babysignlanguage.com/signs/come.gif,komm
http://www.babysignlanguage.com/signs/computer.gif,Computer
http://www.babysignlanguage.com/signs/crib.gif,Wiege
http://www.babysignlanguage.com/signs/crawl.gif,krabbeln
http://www.babysignlanguage.com/signs/cry.gif,weinen
http://www.babysignlanguage.com/signs/dad.gif,Papa
http://www.babysignlanguage.com/signs/diaper.gif,Windel
http://www.babysignlanguage.com/signs/dinner.gif,Abendessen
http://www.babysignlanguage.com/signs/dont_want.gif,will nicht
http://www.babysignlanguage.com/signs/down.gif,runter
http://www.babysignlanguage.com/signs/dress_up.gif,anziehen
http://www.babysignlanguage.com/signs/drink.gif,trinken
http://www.babysignlanguage.com/signs/excuse_me.gif,Entschuldigung
http://www.babysignlanguage.com/signs/happy.gif,fröhlich
http://www.babysignlanguage.com/signs/playground.gif,Spielplatz
http://www.babysignlanguage.com/signs/sad.gif,traurig
http://www.babysignlanguage.com/signs/stop.gif,stopp
http://www.babysignlanguage.com/signs/thirsty.gif,durstig
http://www.babysignlanguage.com/signs/water.gif,Wasser
http://www.babysignlanguage.com/signs/stroller.gif,Kinderwagen
